TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 20:30:01.000000000,-22.4902102300996,-64.8663789566076,603.108317723037
1 Jan 2020 20:30:02.000000000,-22.4286000140881,-64.8806974938308,603.092170558595
1 Jan 2020 20:30:03.000000000,-22.3669885931155,-64.8950071274105,603.076058132055
1 Jan 2020 20:30:04.000000000,-22.3053759708729,-64.9093078921713,603.059980519729
1 Jan 2020 20:30:05.000000000,-22.2437621510474,-64.9235998228414,603.043937797751
1 Jan 2020 20:30:06.000000000,-22.1821471373216,-64.937882954049,603.027930042102
1 Jan 2020 20:30:07.000000000,-22.120530933374,-64.9521573203208,603.011957328599
1 Jan 2020 20:30:08.000000000,-22.0589135428789,-64.9664229560856,602.996019732884
1 Jan 2020 20:30:09.000000000,-21.9972949695062,-64.980679895673,602.980117330448
1 Jan 2020 20:30:10.000000000,-21.9356752169218,-64.9949281733183,602.964250196604
1 Jan 2020 20:30:11.000000000,-21.8740542887874,-65.0091678231547,602.948418406516
1 Jan 2020 20:30:12.000000000,-21.8124321887608,-65.0233988792236,602.932622035162
1 Jan 2020 20:30:13.000000000,-21.7508089204953,-65.037621375465,602.916861157368
1 Jan 2020 20:30:14.000000000,-21.6891844876407,-65.0518353457268,602.901135847792
1 Jan 2020 20:30:15.000000000,-21.6275588938422,-65.066040823762,602.885446180915
1 Jan 2020 20:30:16.000000000,-21.5659321427416,-65.0802378432256,602.869792231063
1 Jan 2020 20:30:17.000000000,-21.5043042379763,-65.0944264376801,602.854174072387
1 Jan 2020 20:30:18.000000000,-21.4426751831799,-65.1086066405925,602.838591778873
1 Jan 2020 20:30:19.000000000,-21.3810449819821,-65.1227784853404,602.823045424339
1 Jan 2020 20:30:20.000000000,-21.3194136380089,-65.1369420052034,602.807535082427
1 Jan 2020 20:30:21.000000000,-21.2577811548822,-65.1510972333737,602.792060826619
1 Jan 2020 20:30:22.000000000,-21.1961475362202,-65.1652442029465,602.776622730225
1 Jan 2020 20:30:23.000000000,-21.1345127856373,-65.1793829469292,602.761220866384
1 Jan 2020 20:30:24.000000000,-21.0728769067441,-65.1935134982383,602.745855308061
1 Jan 2020 20:30:25.000000000,-21.0112399031475,-65.2076358896973,602.730526128058
1 Jan 2020 20:30:26.000000000,-20.9496017784507,-65.2217501540406,602.715233399003
1 Jan 2020 20:30:27.000000000,-20.8879625362532,-65.235856323912,602.699977193349
1 Jan 2020 20:30:28.000000000,-20.8263221801508,-65.2499544318697,602.684757583376
1 Jan 2020 20:30:29.000000000,-20.7646807137358,-65.2640445103782,602.66957464121
1 Jan 2020 20:30:30.000000000,-20.7030381405968,-65.2781265918188,602.654428438776
1 Jan 2020 20:30:31.000000000,-20.6413944643187,-65.29220070848,602.639319047851
1 Jan 2020 20:30:32.000000000,-20.5797496884832,-65.3062668925679,602.624246540027
1 Jan 2020 20:30:33.000000000,-20.5181038166681,-65.3203251761966,602.609210986722
1 Jan 2020 20:30:34.000000000,-20.4564568524479,-65.334375591399,602.594212459184
1 Jan 2020 20:30:35.000000000,-20.3948087993936,-65.3484181701181,602.579251028488
1 Jan 2020 20:30:36.000000000,-20.3331596610728,-65.3624529442123,602.564326765529
1 Jan 2020 20:30:37.000000000,-20.2715094410495,-65.3764799454553,602.549439741032
1 Jan 2020 20:30:38.000000000,-20.2098581428844,-65.3904992055345,602.534590025547
1 Jan 2020 20:30:39.000000000,-20.148205770135,-65.4045107560571,602.519777689446
1 Jan 2020 20:30:40.000000000,-20.0865523263551,-65.4185146285413,602.505002802926
1 Jan 2020 20:30:41.000000000,-20.0248978150955,-65.4325108544268,602.49026543601
1 Jan 2020 20:30:42.000000000,-19.9632422399035,-65.4464994650656,602.475565658536
1 Jan 2020 20:30:43.000000000,-19.9015856043232,-65.4604804917306,602.460903540178
1 Jan 2020 20:30:44.000000000,-19.8399279118955,-65.4744539656129,602.446279150422
1 Jan 2020 20:30:45.000000000,-19.7782691661579,-65.4884199178193,602.431692558588
1 Jan 2020 20:30:46.000000000,-19.7166093706448,-65.5023783793764,602.417143833803
1 Jan 2020 20:30:47.000000000,-19.6549485288876,-65.5163293812289,602.402633045027
1 Jan 2020 20:30:48.000000000,-19.5932866444142,-65.5302729542448,602.388160261041
1 Jan 2020 20:30:49.000000000,-19.5316237207495,-65.544209129207,602.373725550438
1 Jan 2020 20:30:50.000000000,-19.4699597614155,-65.558137936824,602.359328981642
1 Jan 2020 20:30:51.000000000,-19.4082947699307,-65.5720594077197,602.344970622897
1 Jan 2020 20:30:52.000000000,-19.3466287498109,-65.5859735724436,602.330650542256
1 Jan 2020 20:30:53.000000000,-19.2849617045688,-65.5998804614663,602.316368807605
1 Jan 2020 20:30:54.000000000,-19.2232936377138,-65.6137801051782,602.302125486639
1 Jan 2020 20:30:55.000000000,-19.1616245527526,-65.6276725338933,602.287920646885
1 Jan 2020 20:30:56.000000000,-19.0999544531888,-65.6415577778472,602.273754355671
1 Jan 2020 20:30:57.000000000,-19.0382833425232,-65.6554358672025,602.259626680162
1 Jan 2020 20:30:58.000000000,-18.9766112242533,-65.6693068320406,602.245537687331
1 Jan 2020 20:30:59.000000000,-18.9149381018742,-65.6831707023718,602.231487443961
1 Jan 2020 20:31:00.000000000,-18.8532639788776,-65.6970275081258,602.217476016673
1 Jan 2020 20:31:01.000000000,-18.7915888587527,-65.7108772791611,602.203503471888
1 Jan 2020 20:31:02.000000000,-18.7299127449857,-65.7247200452612,602.189569875851
1 Jan 2020 20:31:03.000000000,-18.6682356410599,-65.7385558361329,602.175675294623
1 Jan 2020 20:31:04.000000000,-18.6065575504561,-65.7523846814101,602.161819794079
1 Jan 2020 20:31:05.000000000,-18.544878476652,-65.766206610652,602.148003439911
1 Jan 2020 20:31:06.000000000,-18.4831984231227,-65.7800216533482,602.134226297629
1 Jan 2020 20:31:07.000000000,-18.4215173933404,-65.7938298389107,602.120488432551
1 Jan 2020 20:31:08.000000000,-18.3598353907749,-65.8076311966838,602.10678990982
1 Jan 2020 20:31:09.000000000,-18.2981524188929,-65.8214257559349,602.093130794389
1 Jan 2020 20:31:10.000000000,-18.2364684811586,-65.8352135458646,602.079511151023
1 Jan 2020 20:31:11.000000000,-18.1747835810338,-65.8489945955972,602.065931044297
1 Jan 2020 20:31:12.000000000,-18.1130977219771,-65.8627689341912,602.052390538612
1 Jan 2020 20:31:13.000000000,-18.051410907445,-65.8765365906306,602.038889698174
1 Jan 2020 20:31:14.000000000,-17.9897231408911,-65.8902975938293,602.025428587003
1 Jan 2020 20:31:15.000000000,-17.9280344257666,-65.9040519726366,602.012007268935
1 Jan 2020 20:31:16.000000000,-17.86634476552,-65.9177997558231,601.998625807609
1 Jan 2020 20:31:17.000000000,-17.8046541635973,-65.9315409720995,601.985284266491
1 Jan 2020 20:31:18.000000000,-17.742962623442,-65.9452756501014,601.971982708845
1 Jan 2020 20:31:19.000000000,-17.6812701484951,-65.959003818401,601.958721197753
1 Jan 2020 20:31:20.000000000,-17.6195767421951,-65.9727255054976,601.945499796106
1 Jan 2020 20:31:21.000000000,-17.557882407978,-65.9864407398266,601.932318566608
1 Jan 2020 20:31:22.000000000,-17.4961871492775,-66.0001495497561,601.919177571775
1 Jan 2020 20:31:23.000000000,-17.4344909695246,-66.0138519635836,601.906076873927
1 Jan 2020 20:31:24.000000000,-17.3727938721482,-66.0275480095463,601.893016535199
1 Jan 2020 20:31:25.000000000,-17.3110958605745,-66.0412377158062,601.879996617533
1 Jan 2020 20:31:26.000000000,-17.2493969382277,-66.0549211104688,601.867017182683
1 Jan 2020 20:31:27.000000000,-17.1876971085292,-66.0685982215671,601.854078292209
1 Jan 2020 20:31:28.000000000,-17.1259963748985,-66.0822690770747,601.841180007483
1 Jan 2020 20:31:29.000000000,-17.0642947407525,-66.0959337048949,601.828322389678
1 Jan 2020 20:31:30.000000000,-17.0025922095058,-66.1095921328704,601.815505499789
1 Jan 2020 20:31:31.000000000,-16.9408887845709,-66.1232443887801,601.802729398604
1 Jan 2020 20:31:32.000000000,-16.8791844693579,-66.136890500335,601.789994146728
1 Jan 2020 20:31:33.000000000,-16.8174792672747,-66.1505304951893,601.77729980457
1 Jan 2020 20:31:34.000000000,-16.7557731817269,-66.164164400925,601.764646432343
1 Jan 2020 20:31:35.000000000,-16.694066216118,-66.1777922450706,601.752034090075
1 Jan 2020 20:31:36.000000000,-16.6323583738492,-66.1914140550855,601.739462837589
1 Jan 2020 20:31:37.000000000,-16.5706496583196,-66.2050298583724,601.726932734524
1 Jan 2020 20:31:38.000000000,-16.508940072926,-66.2186396822671,601.714443840317
1 Jan 2020 20:31:39.000000000,-16.4472296210633,-66.2322435540479,601.701996214219
1 Jan 2020 20:31:40.000000000,-16.385518306124,-66.2458415009319,601.689589915281
1 Jan 2020 20:31:41.000000000,-16.3238061314986,-66.2594335500732,601.677225002353
1 Jan 2020 20:31:42.000000000,-16.2620931005756,-66.2730197285667,601.664901534102
1 Jan 2020 20:31:43.000000000,-16.2003792167413,-66.2866000634458,601.652619568993
1 Jan 2020 20:31:44.000000000,-16.13866448338,-66.3001745816882,601.64037916529
1 Jan 2020 20:31:45.000000000,-16.0769489038738,-66.3137433102072,601.628180381069
1 Jan 2020 20:31:46.000000000,-16.015232481603,-66.3273062758618,601.616023274206
1 Jan 2020 20:31:47.000000000,-15.9535152199458,-66.3408635054474,601.603907902382
1 Jan 2020 20:31:48.000000000,-15.8917971222783,-66.3544150257062,601.591834323077
1 Jan 2020 20:31:49.000000000,-15.8300781919747,-66.367960863317,601.579802593574
1 Jan 2020 20:31:50.000000000,-15.7683584324072,-66.3815010449058,601.567812770967
1 Jan 2020 20:31:51.000000000,-15.7066378469461,-66.3950355970377,601.555864912135
1 Jan 2020 20:31:52.000000000,-15.6449164389597,-66.4085645462203,601.543959073777
1 Jan 2020 20:31:53.000000000,-15.5831942118145,-66.4220879189098,601.532095312385
1 Jan 2020 20:31:54.000000000,-15.5214711688749,-66.4356057414966,601.520273684247
1 Jan 2020 20:31:55.000000000,-15.4597473135036,-66.4491180403243,601.508494245463
1 Jan 2020 20:31:56.000000000,-15.3980226490612,-66.4626248416738,601.496757051924
1 Jan 2020 20:31:57.000000000,-15.3362971789067,-66.4761261717757,601.485062159328
1 Jan 2020 20:31:58.000000000,-15.274570906397,-66.4896220568004,601.473409623169
1 Jan 2020 20:31:59.000000000,-15.2128438348873,-66.5031125228671,601.461799498742
1 Jan 2020 20:32:00.000000000,-15.151115967731,-66.5165975960401,601.450231841147
1 Jan 2020 20:32:01.000000000,-15.0893873082798,-66.5300773023259,601.438706705271
1 Jan 2020 20:32:02.000000000,-15.0276578598832,-66.5435516676832,601.427224145812
1 Jan 2020 20:32:03.000000000,-14.9659276258894,-66.557020718008,601.415784217258
1 Jan 2020 20:32:04.000000000,-14.9041966096446,-66.5704844791519,601.404386973905
1 Jan 2020 20:32:05.000000000,-14.8424648144932,-66.5839429769071,601.393032469836
1 Jan 2020 20:32:06.000000000,-14.7807322437781,-66.5973962370178,601.38172075894
1 Jan 2020 20:32:07.000000000,-14.7189989008402,-66.6108442851708,601.3704518949
1 Jan 2020 20:32:08.000000000,-14.6572647890189,-66.6242871470046,601.359225931201
1 Jan 2020 20:32:09.000000000,-14.5955299116519,-66.6377248481055,601.348042921117
1 Jan 2020 20:32:10.000000000,-14.533794272075,-66.6511574140047,601.336902917727
1 Jan 2020 20:32:11.000000000,-14.4720578736226,-66.664584870188,601.325805973903
1 Jan 2020 20:32:12.000000000,-14.4103207196273,-66.6780072420818,601.314752142311
1 Jan 2020 20:32:13.000000000,-14.3485828134202,-66.6914245550701,601.303741475421
1 Jan 2020 20:32:14.000000000,-14.2868441583307,-66.7048368344806,601.29277402549
1 Jan 2020 20:32:15.000000000,-14.2251047576864,-66.7182441055957,601.281849844571
1 Jan 2020 20:32:16.000000000,-14.1633646148136,-66.7316463936428,601.270968984523
1 Jan 2020 20:32:17.000000000,-14.1016237330369,-66.7450437238036,601.260131496987
1 Jan 2020 20:32:18.000000000,-14.0398821156792,-66.7584361212107,601.249337433409
1 Jan 2020 20:32:19.000000000,-13.9781397660621,-66.7718236109435,601.23858684502
1 Jan 2020 20:32:20.000000000,-13.9163966875054,-66.7852062180394,601.227879782852
1 Jan 2020 20:32:21.000000000,-13.8546528833276,-66.7985839674783,601.217216297734
1 Jan 2020 20:32:22.000000000,-13.7929083568455,-66.8119568842009,601.206596440275
1 Jan 2020 20:32:23.000000000,-13.7311631113744,-66.8253249930936,601.196020260896
1 Jan 2020 20:32:24.000000000,-13.6694171502282,-66.8386883190005,601.185487809799
1 Jan 2020 20:32:25.000000000,-13.6076704767192,-66.8520468867131,601.174999136984
1 Jan 2020 20:32:26.000000000,-13.5459230941584,-66.8654007209811,601.164554292238
1 Jan 2020 20:32:27.000000000,-13.4841750058552,-66.8787498465022,601.154153325148
1 Jan 2020 20:32:28.000000000,-13.4224262151176,-66.8920942879319,601.143796285086
1 Jan 2020 20:32:29.000000000,-13.3606767252521,-66.9054340698802,601.133483221223
1 Jan 2020 20:32:30.000000000,-13.2989265395638,-66.9187692169039,601.123214182523
1 Jan 2020 20:32:31.000000000,-13.2371756613565,-66.932099753523,601.112989217731
1 Jan 2020 20:32:32.000000000,-13.1754240939325,-66.9454257042058,601.102808375394
1 Jan 2020 20:32:33.000000000,-13.1136718405927,-66.9587470933819,601.092671703845
1 Jan 2020 20:32:34.000000000,-13.0519189046367,-66.972063945427,601.082579251208
1 Jan 2020 20:32:35.000000000,-12.9901652893626,-66.9853762846814,601.072531065402
1 Jan 2020 20:32:36.000000000,-12.9284109980674,-66.9986841354345,601.062527194131
1 Jan 2020 20:32:37.000000000,-12.8666560340464,-67.0119875219358,601.052567684894
1 Jan 2020 20:32:38.000000000,-12.8049004005938,-67.0252864683909,601.042652584972
1 Jan 2020 20:32:39.000000000,-12.7431441010025,-67.0385809989581,601.032781941446
1 Jan 2020 20:32:40.000000000,-12.681387138564,-67.0518711377589,601.02295580118
1 Jan 2020 20:32:41.000000000,-12.6196295165686,-67.0651569088629,601.01317421083
1 Jan 2020 20:32:42.000000000,-12.5578712383051,-67.078438336306,601.003437216836
1 Jan 2020 20:32:43.000000000,-12.4961123070613,-67.0917154440753,600.993744865438
1 Jan 2020 20:32:44.000000000,-12.4343527261236,-67.1049882561209,600.984097202651
1 Jan 2020 20:32:45.000000000,-12.372592498777,-67.1182567963457,600.974494274286
1 Jan 2020 20:32:46.000000000,-12.3108316283056,-67.1315210886151,600.964936125942
1 Jan 2020 20:32:47.000000000,-12.249070117992,-67.144781156753,600.955422803008
1 Jan 2020 20:32:48.000000000,-12.1873079711176,-67.1580370245382,600.945954350652
1 Jan 2020 20:32:49.000000000,-12.1255451909627,-67.1712887157153,600.936530813839
1 Jan 2020 20:32:50.000000000,-12.0637817808063,-67.1845362539793,600.927152237313
1 Jan 2020 20:32:51.000000000,-12.0020177439263,-67.1977796629936,600.917818665611
1 Jan 2020 20:32:52.000000000,-11.9402530835993,-67.2110189663755,600.90853014306
1 Jan 2020 20:32:53.000000000,-11.8784878031009,-67.2242541877072,600.899286713767
1 Jan 2020 20:32:54.000000000,-11.8167219057053,-67.2374853505265,600.890088421618
1 Jan 2020 20:32:55.000000000,-11.7549553946858,-67.2507124783356,600.880935310306
1 Jan 2020 20:32:56.000000000,-11.6931882733144,-67.2639355945976,600.87182742329
1 Jan 2020 20:32:57.000000000,-11.631420544862,-67.2771547227331,600.862764803827
1 Jan 2020 20:32:58.000000000,-11.5696522125984,-67.2903698861304,600.853747494955
1 Jan 2020 20:32:59.000000000,-11.5078832797924,-67.3035811081306,600.844775539497
1 Jan 2020 20:33:00.000000000,-11.4461137497114,-67.3167884120457,600.83584898006
1 Jan 2020 20:33:01.000000000,-11.384343625622,-67.3299918211433,600.82696785904
1 Jan 2020 20:33:02.000000000,-11.3225729107896,-67.3431913586588,600.818132218618
1 Jan 2020 20:33:03.000000000,-11.2608016084785,-67.3563870477852,600.809342100754
