TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 20:35:00.000000000,2508.25842345295,-6493.48925213686,-487.476157703557
1 Jan 2020 20:35:01.000000000,2506.98364431603,-6494.53759309024,-480.010885125038
1 Jan 2020 20:35:02.000000000,2505.70578534854,-6495.57816397161,-472.545049466207
1 Jan 2020 20:35:03.000000000,2504.42484917559,-6496.61096311704,-465.078659484921
1 Jan 2020 20:35:04.000000000,2503.14083842712,-6497.63598887167,-457.61172393968
1 Jan 2020 20:35:05.000000000,2501.8537557359,-6498.65323959049,-450.144251589631
1 Jan 2020 20:35:06.000000000,2500.56360373925,-6499.66271363768,-442.676251194544
1 Jan 2020 20:35:07.000000000,2499.27038507771,-6500.66440938711,-435.207731514817
1 Jan 2020 20:35:08.000000000,2497.97410239626,-6501.65832522188,-427.738701311447
1 Jan 2020 20:35:09.000000000,2496.67475834308,-6502.64445953481,-420.269169346041
1 Jan 2020 20:35:10.000000000,2495.37235557074,-6503.62281072794,-412.799144380783
1 Jan 2020 20:35:11.000000000,2494.06689673519,-6504.59337721299,-405.328635178442
1 Jan 2020 20:35:12.000000000,2492.75838449604,-6505.55615741117,-397.857650502358
1 Jan 2020 20:35:13.000000000,2491.44682151755,-6506.51114975288,-390.38619911642
1 Jan 2020 20:35:14.000000000,2490.13221046661,-6507.45835267841,-382.914289785072
1 Jan 2020 20:35:15.000000000,2488.81455401507,-6508.39776463712,-375.441931273293
1 Jan 2020 20:35:16.000000000,2487.49385483755,-6509.32938408824,-367.969132346585
1 Jan 2020 20:35:17.000000000,2486.17011561314,-6510.25320950018,-360.495901770973
1 Jan 2020 20:35:18.000000000,2484.84333902431,-6511.16923935107,-353.022248312985
1 Jan 2020 20:35:19.000000000,2483.51352775726,-6512.07747212847,-345.548180739643
1 Jan 2020 20:35:20.000000000,2482.18068450243,-6512.97790632933,-338.073707818461
1 Jan 2020 20:35:21.000000000,2480.84481195339,-6513.87054046026,-330.598838317421
1 Jan 2020 20:35:22.000000000,2479.50591280809,-6514.75537303721,-323.123581004978
1 Jan 2020 20:35:23.000000000,2478.16398976747,-6515.63240258587,-315.647944650034
1 Jan 2020 20:35:24.000000000,2476.81904553725,-6516.50162764107,-308.17193802194
1 Jan 2020 20:35:25.000000000,2475.47108282588,-6517.36304674752,-300.695569890482
1 Jan 2020 20:35:26.000000000,2474.12010434625,-6518.21665845917,-293.218849025869
1 Jan 2020 20:35:27.000000000,2472.76611281457,-6519.06246133965,-285.741784198724
1 Jan 2020 20:35:28.000000000,2471.40911095076,-6519.90045396212,-278.26438418007
1 Jan 2020 20:35:29.000000000,2470.04910147892,-6520.73063490906,-270.786657741332
1 Jan 2020 20:35:30.000000000,2468.68608712624,-6521.55300277271,-263.308613654308
1 Jan 2020 20:35:31.000000000,2467.32007062427,-6522.36755615461,-255.830260691173
1 Jan 2020 20:35:32.000000000,2465.9510547075,-6523.17429366611,-248.351607624464
1 Jan 2020 20:35:33.000000000,2464.57904211514,-6523.97321392767,-240.872663227072
1 Jan 2020 20:35:34.000000000,2463.2040355891,-6524.76431556969,-233.393436272227
1 Jan 2020 20:35:35.000000000,2461.8260378757,-6525.54759723182,-225.913935533492
1 Jan 2020 20:35:36.000000000,2460.44505172439,-6526.32305756345,-218.434169784751
1 Jan 2020 20:35:37.000000000,2459.06107988886,-6527.09069522331,-210.954147800196
1 Jan 2020 20:35:38.000000000,2457.67412512606,-6527.8505088798,-203.473878354325
1 Jan 2020 20:35:39.000000000,2456.28419019661,-6528.60249721089,-195.993370221922
1 Jan 2020 20:35:40.000000000,2454.89127786525,-6529.34665890389,-188.512632178052
1 Jan 2020 20:35:41.000000000,2453.49539089965,-6530.08299265597,-181.03167299805
1 Jan 2020 20:35:42.000000000,2452.09653207216,-6530.81149717342,-173.550501457511
1 Jan 2020 20:35:43.000000000,2450.69470415778,-6531.53217117249,-166.06912633228
1 Jan 2020 20:35:44.000000000,2449.28990993588,-6532.2450133787,-158.587556398436
1 Jan 2020 20:35:45.000000000,2447.8821521889,-6532.95002252732,-151.105800432293
1 Jan 2020 20:35:46.000000000,2446.47143370352,-6533.64719736298,-143.623867210378
1 Jan 2020 20:35:47.000000000,2445.05775726946,-6534.33653664008,-136.14176550943
1 Jan 2020 20:35:48.000000000,2443.64112568066,-6535.01803912233,-128.659504106382
1 Jan 2020 20:35:49.000000000,2442.22154173426,-6535.6917035832,-121.177091778357
1 Jan 2020 20:35:50.000000000,2440.79900823088,-6536.35752880575,-113.694537302652
1 Jan 2020 20:35:51.000000000,2439.37352797563,-6537.0155135823,-106.211849456736
1 Jan 2020 20:35:52.000000000,2437.94510377622,-6537.66565671509,-98.7290370182294
1 Jan 2020 20:35:53.000000000,2436.51373844455,-6538.30795701573,-91.2461087649005
1 Jan 2020 20:35:54.000000000,2435.07943479599,-6538.94241330544,-83.7630734746549
1 Jan 2020 20:35:55.000000000,2433.64219564965,-6539.56902441495,-76.2799399255202
1 Jan 2020 20:35:56.000000000,2432.20202382795,-6540.18778918469,-68.7967168956433
1 Jan 2020 20:35:57.000000000,2430.7589221569,-6540.79870646467,-61.3134131632738
1 Jan 2020 20:35:58.000000000,2429.31289346655,-6541.40177511428,-53.8300375067562
1 Jan 2020 20:35:59.000000000,2427.86394058992,-6541.99699400272,-46.3465987045203
1 Jan 2020 20:36:00.000000000,2426.41206636423,-6542.58436200858,-38.8631055350688
1 Jan 2020 20:36:01.000000000,2424.95727362966,-6543.16387802021,-31.3795667769682
1 Jan 2020 20:36:02.000000000,2423.49956523041,-6543.7355409354,-23.8959912088395
1 Jan 2020 20:36:03.000000000,2422.03894401409,-6544.29934966158,-16.4123876093463
1 Jan 2020 20:36:04.000000000,2420.57541283204,-6544.85530311571,-8.92876475718426
1 Jan 2020 20:36:05.000000000,2419.10897453884,-6545.40340022445,-1.4451314310739
1 Jan 2020 20:36:06.000000000,2417.63963199262,-6545.94363992404,6.03850359025474
1 Jan 2020 20:36:07.000000000,2416.16738805552,-6546.47602116015,13.5221315280665
