,x,y,z
0,2326.505161399068,-2838.130288010397,-5935.215296054648
1,2328.080479953257,-2844.537442701557,-5931.529180927045
2,2329.653067564598,-2850.9412606226833,-5927.8361078496055
3,2331.2229223883764,-2857.34173426181,-5924.136081154473
4,2332.7900425830803,-2863.73885611089,-5920.429105181945
5,2334.3544263104086,-2870.132618665817,-5916.715184280469
6,2335.91607173527,-2876.523014426422,-5912.9943228066395
7,2337.4749770257836,-2882.9100358964834,-5909.2665251251965
8,2339.0311403532833,-2889.2936755837363,-5905.531795609012
9,2340.584559892319,-2895.673925999883,-5901.790138639095
10,2342.1352338206607,-2902.050779660607,-5898.041558604574
11,2343.683160319299,-2908.4242290855746,-5894.286059902699
12,2345.228337572446,-2914.794266798441,-5890.523646938842
13,2346.7707637675394,-2921.1608853268667,-5886.754324126482
14,2348.3104370952433,-2927.5240772025195,-5882.978095887205
15,2349.8473557494526,-2933.8838349610933,-5879.1949666506935
16,2351.3815179272933,-2940.240151142308,-5875.404940854727
17,2352.912921829124,-2946.593018289918,-5871.608022945179
18,2354.4415656585393,-2952.9424289517265,-5867.804217376002
19,2355.9674476223704,-2959.2883756795845,-5863.993528609234
20,2357.49056593069,-2965.630851029416,-5860.175961114981
21,2359.0109187968123,-2971.9698475612154,-5856.35151937142
22,2360.5285044372954,-2978.305357839052,-5852.520207864794
23,2362.0433210719425,-2984.637374431089,-5848.6820310894045
24,2363.5553669238057,-2990.965889909585,-5844.836993547605
25,2365.0646402191874,-2997.290896850907,-5840.985099749795
26,2366.5711391876434,-3003.612387835544,-5837.12635421442
27,2368.0748620619815,-3009.930355448098,-5833.26076146796
28,2369.5758070782686,-3016.244792277312,-5829.388326044931
29,2371.0739724758278,-3022.5556909160655,-5825.509052487874
30,2372.569356497243,-3028.8630439613926,-5821.622945347349
31,2374.061957388364,-3035.1668440144877,-5817.730009181934
32,2375.5517733983015,-3041.4670836807086,-5813.830248558217
33,2377.038802779435,-3047.763755569592,-5809.923668050795
34,2378.523043787412,-3054.056852294856,-5806.010272242262
35,2380.0044946811518,-3060.3463664744213,-5802.090065723203
36,2381.4831537228447,-3066.6322907304,-5798.163053092201
37,2382.9590191779585,-3072.9146176891268,-5794.229238955814
38,2384.4320893152367,-3079.1933399811473,-5790.288627928583
39,2385.9023624067017,-3085.468450241236,-5786.341224633026
40,2387.369836727657,-3091.7399411084125,-5782.387033699618
41,2388.8345105566896,-3098.0078052259305,-5778.426059766808
42,2390.296382175672,-3104.2720352413107,-5774.458307480991
43,2391.7554498697623,-3110.532623806327,-5770.483781496519
44,2393.2117119274085,-3116.7895635770255,-5766.502486475695
45,2394.6651666403504,-3123.042847213741,-5762.51442708875
46,2396.1158123036207,-3129.292467381085,-5758.519608013862
47,2397.5636472155466,-3135.538416747979,-5754.518033937126
48,2399.0086696777535,-3141.780687987641,-5750.509709552575
49,2400.4508779951634,-3148.0192737776038,-5746.494639562151
50,2401.8902704760026,-3154.2541667997316,-5742.47282867571
51,2403.3268454317986,-3160.4853597402107,-5738.444281611018
52,2404.760601177386,-3166.7128452895768,-5734.40900309374
53,2406.191536030903,-3172.936616142708,-5730.366997857437
54,2407.619648313799,-3179.1566649988386,-5726.318270643569
55,2409.0449363508365,-3185.3729845615785,-5722.262826201469
56,2410.467398470086,-3191.5855675389002,-5718.200669288357
57,2411.887033002937,-3197.794406643169,-5714.131804669324
58,2413.303838284094,-3203.999494591136,-5710.056237117333
59,2414.717812651581,-3210.2008241039557,-5705.973971413207
60,2416.1289544467427,-3216.3983879071893,-5701.885012345626
61,2417.5372620142466,-3222.5921787308166,-5697.789364711124
62,2418.9427337020843,-3228.782189309245,-5693.687033314077
63,2420.345367861575,-3234.968412381314,-5689.5780229667025
64,2421.7451628473655,-3241.150840690302,-5685.46233848906
65,2423.1421170174335,-3247.3294669839506,-5681.339984709027
66,2424.536228733089,-3253.504284014446,-5677.210966462312
67,2425.9274963589774,-3259.6752845384576,-5673.075288592436
68,2427.3159182630784,-3265.842461317123,-5668.932955950735
69,2428.7014928167105,-3272.0058071160624,-5664.7839733963565
70,2430.084218394533,-3278.165314705402,-5660.6283457962345
71,2431.464093374547,-3284.320976859757,-5656.466078025114
72,2432.8411161380977,-3290.4727863582652,-5652.297174965517
73,2434.215285069875,-3296.620735984575,-5648.121641507757
74,2435.5865985579157,-3302.764818526862,-5643.93948254992
75,2436.9550549936102,-3308.905026777849,-5639.750702997867
76,2438.3206527716957,-3315.0413535347902,-5635.555307765225
77,2439.6833902902663,-3321.1737915995036,-5631.353301773378
78,2441.0432659507687,-3327.302333778362,-5627.144689951469
79,2442.4002781580075,-3333.4269728823087,-5622.929477236393
80,2443.7544253201477,-3339.5477017268713,-5618.707668572777
81,2445.1057058487127,-3345.664513132156,-5614.4792689129945
82,2446.454118158591,-3351.7773999228734,-5610.244283217148
